Page,Sentence,Entity,Type
25,"The facts as stated in
paras 1 and 11 of the Report show that a criminal
complaint was filed by the respondent under Sections
420, 467, 468, 471 read with 120­B IPC alleging that
the appellants had conspired and fabricated an
agreement dated 26­7­1978 and had forged the
signature of Smt Dalip Kaur and on the basis thereof,
they had made a claim to remain in possession of a
house.",IPC,PERSON
25,"The facts as stated in
paras 1 and 11 of the Report show that a criminal
complaint was filed by the respondent under Sections
420, 467, 468, 471 read with 120­B IPC alleging that
the appellants had conspired and fabricated an
agreement dated 26­7­1978 and had forged the
signature of Smt Dalip Kaur and on the basis thereof,
they had made a claim to remain in possession of a
house.",26­7­1978,CARDINAL
25,"The facts as stated in
paras 1 and 11 of the Report show that a criminal
complaint was filed by the respondent under Sections
420, 467, 468, 471 read with 120­B IPC alleging that
the appellants had conspired and fabricated an
agreement dated 26­7­1978 and had forged the
signature of Smt Dalip Kaur and on the basis thereof,
they had made a claim to remain in possession of a
house.",Dalip Kaur,PERSON
25,"The Magistrate took cognizance of the offence
on 27­9­1983.",Magistrate,ORG
25,"The Magistrate took cognizance of the offence
on 27­9­1983.",27­9­1983,CARDINAL
25,"The appellants thereafter filed a civil
suit on 9­2­1984 wherein they produced the
agreement.",9­2­1984,CARDINAL
25,"During the course of discussion, the Court not only
noticed Gopalakrishna Menon",Court,ORG
25,"During the course of discussion, the Court not only
noticed Gopalakrishna Menon",Gopalakrishna Menon,PERSON
25,"[(1983) 4 SCC 240:
1983 SCC (Cri) 822] but also quoted extensively from
Patel Laljibhai.",1983,DATE
25,"[(1983) 4 SCC 240:
1983 SCC (Cri) 822] but also quoted extensively from
Patel Laljibhai.",4,CARDINAL
25,"[(1983) 4 SCC 240:
1983 SCC (Cri) 822] but also quoted extensively from
Patel Laljibhai.",240,CARDINAL
25,"[(1983) 4 SCC 240:
1983 SCC (Cri) 822] but also quoted extensively from
Patel Laljibhai.",1983,DATE
25,"[(1983) 4 SCC 240:
1983 SCC (Cri) 822] but also quoted extensively from
Patel Laljibhai.",822,CARDINAL
25,"[(1983) 4 SCC 240:
1983 SCC (Cri) 822] but also quoted extensively from
Patel Laljibhai.",Patel Laljibhai,PERSON
25,"Reference was then made to
Sanmukhsingh v. R.",Sanmukhsingh,PERSON
25,"Reference was then made to
Sanmukhsingh v. R.",R.,NORP
25,"[AIR 1950 PC 31: 51 Cri LJ 651]
and Sushil Kumar v. State of Haryana [1987 Supp
SCC 654: 1988 SCC (Cri) 136 : AIR 1988 SC 419]
wherein it has been held that the bar of Section 195
would not apply if the original document had not
been produced or given in evidence in court.",AIR,ORG
25,"[AIR 1950 PC 31: 51 Cri LJ 651]
and Sushil Kumar v. State of Haryana [1987 Supp
SCC 654: 1988 SCC (Cri) 136 : AIR 1988 SC 419]
wherein it has been held that the bar of Section 195
would not apply if the original document had not
been produced or given in evidence in court.",1950,DATE
25,"[AIR 1950 PC 31: 51 Cri LJ 651]
and Sushil Kumar v. State of Haryana [1987 Supp
SCC 654: 1988 SCC (Cri) 136 : AIR 1988 SC 419]
wherein it has been held that the bar of Section 195
would not apply if the original document had not
been produced or given in evidence in court.",31,CARDINAL
25,"[AIR 1950 PC 31: 51 Cri LJ 651]
and Sushil Kumar v. State of Haryana [1987 Supp
SCC 654: 1988 SCC (Cri) 136 : AIR 1988 SC 419]
wherein it has been held that the bar of Section 195
would not apply if the original document had not
been produced or given in evidence in court.",51,CARDINAL
25,"[AIR 1950 PC 31: 51 Cri LJ 651]
and Sushil Kumar v. State of Haryana [1987 Supp
SCC 654: 1988 SCC (Cri) 136 : AIR 1988 SC 419]
wherein it has been held that the bar of Section 195
would not apply if the original document had not
been produced or given in evidence in court.",Sushil Kumar,PERSON
25,"[AIR 1950 PC 31: 51 Cri LJ 651]
and Sushil Kumar v. State of Haryana [1987 Supp
SCC 654: 1988 SCC (Cri) 136 : AIR 1988 SC 419]
wherein it has been held that the bar of Section 195
would not apply if the original document had not
been produced or given in evidence in court.",Haryana,ORG
25,"[AIR 1950 PC 31: 51 Cri LJ 651]
and Sushil Kumar v. State of Haryana [1987 Supp
SCC 654: 1988 SCC (Cri) 136 : AIR 1988 SC 419]
wherein it has been held that the bar of Section 195
would not apply if the original document had not
been produced or given in evidence in court.",1987,DATE
25,"[AIR 1950 PC 31: 51 Cri LJ 651]
and Sushil Kumar v. State of Haryana [1987 Supp
SCC 654: 1988 SCC (Cri) 136 : AIR 1988 SC 419]
wherein it has been held that the bar of Section 195
would not apply if the original document had not
been produced or given in evidence in court.","Supp
SCC 654",WORK_OF_ART
25,"[AIR 1950 PC 31: 51 Cri LJ 651]
and Sushil Kumar v. State of Haryana [1987 Supp
SCC 654: 1988 SCC (Cri) 136 : AIR 1988 SC 419]
wherein it has been held that the bar of Section 195
would not apply if the original document had not
been produced or given in evidence in court.",1988,DATE
25,"[AIR 1950 PC 31: 51 Cri LJ 651]
and Sushil Kumar v. State of Haryana [1987 Supp
SCC 654: 1988 SCC (Cri) 136 : AIR 1988 SC 419]
wherein it has been held that the bar of Section 195
would not apply if the original document had not
been produced or given in evidence in court.",136,CARDINAL
25,"[AIR 1950 PC 31: 51 Cri LJ 651]
and Sushil Kumar v. State of Haryana [1987 Supp
SCC 654: 1988 SCC (Cri) 136 : AIR 1988 SC 419]
wherein it has been held that the bar of Section 195
would not apply if the original document had not
been produced or given in evidence in court.",AIR 1988,ORG
25,"[AIR 1950 PC 31: 51 Cri LJ 651]
and Sushil Kumar v. State of Haryana [1987 Supp
SCC 654: 1988 SCC (Cri) 136 : AIR 1988 SC 419]
wherein it has been held that the bar of Section 195
would not apply if the original document had not
been produced or given in evidence in court.",419,CARDINAL
25,"[AIR 1950 PC 31: 51 Cri LJ 651]
and Sushil Kumar v. State of Haryana [1987 Supp
SCC 654: 1988 SCC (Cri) 136 : AIR 1988 SC 419]
wherein it has been held that the bar of Section 195
would not apply if the original document had not
been produced or given in evidence in court.",Section 195,LAW
25,"Then
comes the passage in the judgment (para 10 of the
Report) which we have reproduced in the earlier part
of our judgment.",10,CARDINAL
25,"The observations therein should not
be understood as laying down anything contrary to
what has been held in Patel Laljibhai but was made
in the context that bar contained in Section 195(1)(b)
(ii) would not be attracted unless the original
document was filed.",Patel Laljibhai,PERSON
25,"It is for this reason that in the
very next paragraph, after observing that the
cognizance had been taken prior to filing of the civil
suit and the original agreement in court, the view
taken by the High Court that the Magistrate could
25",the High Court,ORG
25,"It is for this reason that in the
very next paragraph, after observing that the
cognizance had been taken prior to filing of the civil
suit and the original agreement in court, the view
taken by the High Court that the Magistrate could
25",Magistrate,ORG
25,"It is for this reason that in the
very next paragraph, after observing that the
cognizance had been taken prior to filing of the civil
suit and the original agreement in court, the view
taken by the High Court that the Magistrate could
25",25,CARDINAL
26,"Since the object of deletion of the words “by a
party to any proceeding in any court” occurring in
Section 195(1)(c) of the old Code is to afford
protection to witnesses also, the interpretation placed
on the said provision in the earlier decisions would
still hold good.",Section 195(1)(c,LAW
26,"In view of the discussion made above, we are of
the opinion that Sachida Nand Singh has been
correctly decided and the view taken therein is the
correct view.",Nand Singh,PERSON
26,"Section 195(1)(b)(ii) CrPC would be
attracted only when the offences enumerated in the
said provision have been committed with respect to a
document after it has been produced or given in
evidence in a proceeding in any court i.e. during the
time when the document was in custodia legis.”
(emphasis supplied)",CrPC,ORG
26,"Curiously, though the facts of Iqbal Singh Marwah also
required a determination as to the applicability of Section 195(1)
(b)(i), the Constitution Bench did not express any specific finding
on this point.",Iqbal Singh Marwah,PERSON
26,"Curiously, though the facts of Iqbal Singh Marwah also
required a determination as to the applicability of Section 195(1)
(b)(i), the Constitution Bench did not express any specific finding
on this point.",Section 195(1,LAW
26,"Curiously, though the facts of Iqbal Singh Marwah also
required a determination as to the applicability of Section 195(1)
(b)(i), the Constitution Bench did not express any specific finding
on this point.",the Constitution Bench,LAW
26,"This was perhaps because the limited point for
consideration before the Bench was the apparent conflict between
Sachida Nand Singh and Surjit Singh (supra).",Bench,ORG
26,"This was perhaps because the limited point for
consideration before the Bench was the apparent conflict between
Sachida Nand Singh and Surjit Singh (supra).",Nand Singh,PERSON
26,"This was perhaps because the limited point for
consideration before the Bench was the apparent conflict between
Sachida Nand Singh and Surjit Singh (supra).",Surjit Singh,PERSON
26,"However, it can
nevertheless be seen that the Constitution Bench did not
interpret Section 195(1)(b)(ii) in isolation, but linked its
construction with the overall scheme under Sections 195(1)(b)
26",the Constitution Bench,LAW
26,"However, it can
nevertheless be seen that the Constitution Bench did not
interpret Section 195(1)(b)(ii) in isolation, but linked its
construction with the overall scheme under Sections 195(1)(b)
26",Section 195(1)(b)(ii,LAW
26,"However, it can
nevertheless be seen that the Constitution Bench did not
interpret Section 195(1)(b)(ii) in isolation, but linked its
construction with the overall scheme under Sections 195(1)(b)
26",26,CARDINAL
27,"and 340, CrPC.",340,CARDINAL
27,"and 340, CrPC.",CrPC,ORG
27,"The Court reiterated the test laid down in
Sachida Nand Singh, i.e., that the offence in respect of which
only the Court can make a complaint must be one which has a
direct correlation to, or a direct impact on, proceedings before a
court of justice.",Court,ORG
27,"The Court reiterated the test laid down in
Sachida Nand Singh, i.e., that the offence in respect of which
only the Court can make a complaint must be one which has a
direct correlation to, or a direct impact on, proceedings before a
court of justice.",Nand Singh,PERSON
27,"The Court reiterated the test laid down in
Sachida Nand Singh, i.e., that the offence in respect of which
only the Court can make a complaint must be one which has a
direct correlation to, or a direct impact on, proceedings before a
court of justice.",Court,ORG
27,"The Court further noted that the situation wherein the
offence as enumerated under Section 195(1)(b)(ii) has been
committed earlier, but the document is produced later in court is
not in consonance with the object of Sections 195(1)(b)(i) either.",Court,ORG
27,"The Court further noted that the situation wherein the
offence as enumerated under Section 195(1)(b)(ii) has been
committed earlier, but the document is produced later in court is
not in consonance with the object of Sections 195(1)(b)(i) either.",Section 195(1)(b)(ii,LAW
27,"The Court further noted that the situation wherein the
offence as enumerated under Section 195(1)(b)(ii) has been
committed earlier, but the document is produced later in court is
not in consonance with the object of Sections 195(1)(b)(i) either.",Sections 195(1)(b)(i,ORG
27,"Even in Surjit Singh, this Court had held on the facts of that
case, that since the criminal Court had taken cognizance of the
offence long before filing of the original document before the civil
Court, the bar under Section 195(1)(b)(ii) would not apply.",Surjit Singh,PERSON
27,"Even in Surjit Singh, this Court had held on the facts of that
case, that since the criminal Court had taken cognizance of the
offence long before filing of the original document before the civil
Court, the bar under Section 195(1)(b)(ii) would not apply.",Court,ORG
27,"Even in Surjit Singh, this Court had held on the facts of that
case, that since the criminal Court had taken cognizance of the
offence long before filing of the original document before the civil
Court, the bar under Section 195(1)(b)(ii) would not apply.",Court,ORG
27,"Even in Surjit Singh, this Court had held on the facts of that
case, that since the criminal Court had taken cognizance of the
offence long before filing of the original document before the civil
Court, the bar under Section 195(1)(b)(ii) would not apply.",Section 195(1)(b)(ii,LAW
27,"Similar to Sachida Nand Singh, the Constitution Bench
also referred to the observations made by the three­Judge Bench
in Patel Laljibhai Somabhai (supra) on Sections 192(b) and
192(c) of the Code of Criminal Procedure, 1898 (“1898 Code”)
which corresponded to Section 192(1)(b)(i) and (ii) of the present
27",Nand Singh,PERSON
27,"Similar to Sachida Nand Singh, the Constitution Bench
also referred to the observations made by the three­Judge Bench
in Patel Laljibhai Somabhai (supra) on Sections 192(b) and
192(c) of the Code of Criminal Procedure, 1898 (“1898 Code”)
which corresponded to Section 192(1)(b)(i) and (ii) of the present
27",the Constitution Bench,LAW
27,"Similar to Sachida Nand Singh, the Constitution Bench
also referred to the observations made by the three­Judge Bench
in Patel Laljibhai Somabhai (supra) on Sections 192(b) and
192(c) of the Code of Criminal Procedure, 1898 (“1898 Code”)
which corresponded to Section 192(1)(b)(i) and (ii) of the present
27",Bench,WORK_OF_ART
27,"Similar to Sachida Nand Singh, the Constitution Bench
also referred to the observations made by the three­Judge Bench
in Patel Laljibhai Somabhai (supra) on Sections 192(b) and
192(c) of the Code of Criminal Procedure, 1898 (“1898 Code”)
which corresponded to Section 192(1)(b)(i) and (ii) of the present
27",Patel Laljibhai Somabhai,PERSON
27,"Similar to Sachida Nand Singh, the Constitution Bench
also referred to the observations made by the three­Judge Bench
in Patel Laljibhai Somabhai (supra) on Sections 192(b) and
192(c) of the Code of Criminal Procedure, 1898 (“1898 Code”)
which corresponded to Section 192(1)(b)(i) and (ii) of the present
27",1898,DATE
27,"Similar to Sachida Nand Singh, the Constitution Bench
also referred to the observations made by the three­Judge Bench
in Patel Laljibhai Somabhai (supra) on Sections 192(b) and
192(c) of the Code of Criminal Procedure, 1898 (“1898 Code”)
which corresponded to Section 192(1)(b)(i) and (ii) of the present
27",1898,DATE
27,"Similar to Sachida Nand Singh, the Constitution Bench
also referred to the observations made by the three­Judge Bench
in Patel Laljibhai Somabhai (supra) on Sections 192(b) and
192(c) of the Code of Criminal Procedure, 1898 (“1898 Code”)
which corresponded to Section 192(1)(b)(i) and (ii) of the present
27",Section 192(1)(b)(i,LAW
27,"Similar to Sachida Nand Singh, the Constitution Bench
also referred to the observations made by the three­Judge Bench
in Patel Laljibhai Somabhai (supra) on Sections 192(b) and
192(c) of the Code of Criminal Procedure, 1898 (“1898 Code”)
which corresponded to Section 192(1)(b)(i) and (ii) of the present
27",27,CARDINAL
28,CrPC respectively.,CrPC,ORG
28,"This Court in Patel Laljibhai Somabhai had
noted that even under Section 192(b) of the 1898 Code
(corresponding to Section 195(1)(b)(i), CrPC), the offence
committed is one with a “close nexus” to the court proceedings.",Patel Laljibhai Somabhai,PERSON
28,"This Court in Patel Laljibhai Somabhai had
noted that even under Section 192(b) of the 1898 Code
(corresponding to Section 195(1)(b)(i), CrPC), the offence
committed is one with a “close nexus” to the court proceedings.",Section 192(b,LAW
28,"This Court in Patel Laljibhai Somabhai had
noted that even under Section 192(b) of the 1898 Code
(corresponding to Section 195(1)(b)(i), CrPC), the offence
committed is one with a “close nexus” to the court proceedings.",1898,DATE
28,"This Court in Patel Laljibhai Somabhai had
noted that even under Section 192(b) of the 1898 Code
(corresponding to Section 195(1)(b)(i), CrPC), the offence
committed is one with a “close nexus” to the court proceedings.",Section 195(1)(b)(i,LAW
28,"This Court in Patel Laljibhai Somabhai had
noted that even under Section 192(b) of the 1898 Code
(corresponding to Section 195(1)(b)(i), CrPC), the offence
committed is one with a “close nexus” to the court proceedings.",CrPC,ORG
28,"Import of the Words “ in relation to ” in Section 195(1)(b)
(i), CrPC.",CrPC,ORG
28,"This brings us to the phrase “in relation to any proceeding
in any Court”, which appears in Section 195(1)(b)(i), CrPC but is
absent in Section 195(1)(b)(ii).",Court,ORG
28,"This brings us to the phrase “in relation to any proceeding
in any Court”, which appears in Section 195(1)(b)(i), CrPC but is
absent in Section 195(1)(b)(ii).",Section 195(1)(b)(i,LAW
28,"This brings us to the phrase “in relation to any proceeding
in any Court”, which appears in Section 195(1)(b)(i), CrPC but is
absent in Section 195(1)(b)(ii).",CrPC,ORG
28,"It may be argued that this phrase
makes the scope of Section 195(1)(b)(i) wider than Section 195(1)
(b)(ii).",Section 195(1)(b)(i,LAW
28,"It may be argued that this phrase
makes the scope of Section 195(1)(b)(i) wider than Section 195(1)
(b)(ii).",Section 195(1,LAW
28,"The words “in relation to” under Section 195(1)(b(i) appear
to encompass situations wherein false evidence has been
fabricated prior to being produced before a Court of law, for the
purpose of being used in proceedings before the Court.",Section 195(1)(b(i,LAW
28,"The words “in relation to” under Section 195(1)(b(i) appear
to encompass situations wherein false evidence has been
fabricated prior to being produced before a Court of law, for the
purpose of being used in proceedings before the Court.",Court,ORG
28,"Therefore,
it may not be possible to apply the ratio of Iqbal Singh Marwah
by way of analogy to Section 195(1)(b)(i) in every case.",Iqbal Singh Marwah,PERSON
28,"Therefore,
it may not be possible to apply the ratio of Iqbal Singh Marwah
by way of analogy to Section 195(1)(b)(i) in every case.",Section 195(1)(b)(i,LAW
28,"For further elucidation on this point, we may turn to the
recent decision of this Court in Bandekar Brothers (supra).",Court,ORG
28,"For further elucidation on this point, we may turn to the
recent decision of this Court in Bandekar Brothers (supra).",Bandekar Brothers,ORG
28,"The
appellants in that case claimed that the respondents/accused
had given false evidence and forged debit notes and books of
28",28,CARDINAL
29,"They had
initially filed application under Section 340, CrPC before the
relevant Judicial Magistrate.",Section 340,LAW
29,"They had
initially filed application under Section 340, CrPC before the
relevant Judicial Magistrate.",CrPC,ORG
29,"They had
initially filed application under Section 340, CrPC before the
relevant Judicial Magistrate.",Judicial Magistrate,ORG
29,"However, they later sought to
convert this into private complaints, in reliance upon Iqbal
Singh Marwah (supra).",Iqbal,PERSON
29,"However, they later sought to
convert this into private complaints, in reliance upon Iqbal
Singh Marwah (supra).",Singh Marwah,PERSON
29,"The respondents objected on the ground
that the bar under Section 195(1)(b)(i) could not be circumvented.",Section 195(1)(b)(i,LAW
29,"Subsequently, the appellants took the plea that offences under
Section 195(1)(b)(ii) were also made out:
“13.",13,CARDINAL
29,"The point forcefully argued by the learned
Counsel on behalf of the Appellants is that his
clients, being victims of forgery, ought not to be
rendered remediless in respect of the acts of forgery
which are committed before they are used as evidence
in a court proceeding, and that therefore, a private
complaint would be maintainable in the fact
circumstance mentioned in the two criminal
complaints referred to hereinabove.",Appellants,ORG
29,"The point forcefully argued by the learned
Counsel on behalf of the Appellants is that his
clients, being victims of forgery, ought not to be
rendered remediless in respect of the acts of forgery
which are committed before they are used as evidence
in a court proceeding, and that therefore, a private
complaint would be maintainable in the fact
circumstance mentioned in the two criminal
complaints referred to hereinabove.",two,CARDINAL
29,"The Court has
thus to steer between two opposite poles of a
spectrum the “yin” being the protection of a person
from frivolous criminal complaints, and the “yang”
being the right of a victim to ventilate his grievance
and have the Court try the offence of forgery by
means of a private complaint.",Court,ORG
29,"The Court has
thus to steer between two opposite poles of a
spectrum the “yin” being the protection of a person
from frivolous criminal complaints, and the “yang”
being the right of a victim to ventilate his grievance
and have the Court try the offence of forgery by
means of a private complaint.",two,CARDINAL
29,"The Court has
thus to steer between two opposite poles of a
spectrum the “yin” being the protection of a person
from frivolous criminal complaints, and the “yang”
being the right of a victim to ventilate his grievance
and have the Court try the offence of forgery by
means of a private complaint.",Court,ORG
29,"In order to appreciate
whether this case falls within the category of avoiding
frivolous litigation, or whether it falls within the
individual's right to pursue a private complaint, we
must needs refer to several decisions of this Court.”
10.1",Court,ORG
29,"In order to appreciate
whether this case falls within the category of avoiding
frivolous litigation, or whether it falls within the
individual's right to pursue a private complaint, we
must needs refer to several decisions of this Court.”
10.1",10.1,CARDINAL
29,"This Court thereafter proceeded to distinguish between
the offence of fabricating false evidence under Sections 192 and
29",Court,ORG
29,"This Court thereafter proceeded to distinguish between
the offence of fabricating false evidence under Sections 192 and
29",192,CARDINAL
29,"This Court thereafter proceeded to distinguish between
the offence of fabricating false evidence under Sections 192 and
29",29,CARDINAL
30,"193, IPC and the offence of forgery.",193,CARDINAL
30,"193, IPC and the offence of forgery.",IPC,ORG
30,"It noted that the averments
made by the appellants in their complaints pertained exclusively
to giving of false evidence and did not disclose the ingredients of
forgery as defined under the IPC.",IPC,ORG
30,"Hence, this Court in Bandekar
Brothers upheld the respondents’ contentions, and opined that
Iqbal Singh Marwah would not benefit the appellants in that
case.",Court,ORG
30,"Hence, this Court in Bandekar
Brothers upheld the respondents’ contentions, and opined that
Iqbal Singh Marwah would not benefit the appellants in that
case.","Bandekar
Brothers",ORG
30,"Hence, this Court in Bandekar
Brothers upheld the respondents’ contentions, and opined that
Iqbal Singh Marwah would not benefit the appellants in that
case.",Iqbal Singh Marwah,PERSON
30,"Even though the false evidence was created outside of the
Court, it was by the appellants’ own admission, created “in
relation to” proceedings before the Court.","the
Court",ORG
30,"Even though the false evidence was created outside of the
Court, it was by the appellants’ own admission, created “in
relation to” proceedings before the Court.",Court,ORG
30,"Thus, this Court held
that:
“19.",Court,ORG
30,"Thus, this Court held
that:
“19.",19,CARDINAL
30,"At this stage, it is important to understand the
difference between the offences mentioned in Section
195(1)(b)(i) and",195(1)(b)(i,CARDINAL
30,"Where the facts mentioned in a
complaint attracts the provisions of Section 191 to
193 of the Indian Penal Code, Section 195(1)(b)(i) of
the Code of Criminal Procedure applies.",Section 191,LAW
30,"Where the facts mentioned in a
complaint attracts the provisions of Section 191 to
193 of the Indian Penal Code, Section 195(1)(b)(i) of
the Code of Criminal Procedure applies.",193,CARDINAL
30,"Where the facts mentioned in a
complaint attracts the provisions of Section 191 to
193 of the Indian Penal Code, Section 195(1)(b)(i) of
the Code of Criminal Procedure applies.",the Indian Penal Code,LAW
30,"Where the facts mentioned in a
complaint attracts the provisions of Section 191 to
193 of the Indian Penal Code, Section 195(1)(b)(i) of
the Code of Criminal Procedure applies.",Section 195(1)(b)(i,LAW
30,"Where the facts mentioned in a
complaint attracts the provisions of Section 191 to
193 of the Indian Penal Code, Section 195(1)(b)(i) of
the Code of Criminal Procedure applies.",the Code of Criminal Procedure applies,WORK_OF_ART
30,"What is
important is that once these Sections of the Indian
Penal Code are attracted, the offence should be
alleged to have been committed in, or in relation to,
any proceeding in any Court.",Indian,NORP
30,"What is
important is that once these Sections of the Indian
Penal Code are attracted, the offence should be
alleged to have been committed in, or in relation to,
any proceeding in any Court.",Court,ORG
30,"Thus, what is clear is
that the offence punishable under these Sections
does not have to be committed only in any proceeding
in any Court but can also be an offence alleged to
have been committed in relation to any proceeding in
any Court.",Sections,ORG
30,"Thus, what is clear is
that the offence punishable under these Sections
does not have to be committed only in any proceeding
in any Court but can also be an offence alleged to
have been committed in relation to any proceeding in
any Court.",Court,ORG
30,"Thus, what is clear is
that the offence punishable under these Sections
does not have to be committed only in any proceeding
in any Court but can also be an offence alleged to
have been committed in relation to any proceeding in
any Court.",Court,ORG
30,"Contrasted with Section 195(1)(b)(i), Section
195(1)(b)(ii) of the Code of Criminal Procedure speaks
30",Section 195(1)(b)(i,LAW
30,"Contrasted with Section 195(1)(b)(i), Section
195(1)(b)(ii) of the Code of Criminal Procedure speaks
30",30,CARDINAL
31,"of offences described in Section 463, and punishable
under Sections 471, 475 or 476 of the Indian Penal
Code, when such offences are alleged to have been
committed in respect of a document produced or
given in evidence in a proceeding in any Court.",Section 463,LAW
31,"of offences described in Section 463, and punishable
under Sections 471, 475 or 476 of the Indian Penal
Code, when such offences are alleged to have been
committed in respect of a document produced or
given in evidence in a proceeding in any Court.",Sections 471,ORG
31,"of offences described in Section 463, and punishable
under Sections 471, 475 or 476 of the Indian Penal
Code, when such offences are alleged to have been
committed in respect of a document produced or
given in evidence in a proceeding in any Court.",475,CARDINAL
31,"of offences described in Section 463, and punishable
under Sections 471, 475 or 476 of the Indian Penal
Code, when such offences are alleged to have been
committed in respect of a document produced or
given in evidence in a proceeding in any Court.",476,CARDINAL
31,"of offences described in Section 463, and punishable
under Sections 471, 475 or 476 of the Indian Penal
Code, when such offences are alleged to have been
committed in respect of a document produced or
given in evidence in a proceeding in any Court.",Court,ORG
31,"What
is conspicuous by its absence in Section 195(1)(b)(ii)
are the words “or in relation to”, making it clear that
if the provisions of Section 195(1)(b)(ii) are attracted,
then the offence alleged to have been committed must
be committed in respect of a document that is
custodia legis, and not an offence that may have
occurred prior to the document being introduced in
court proceedings.",Section 195(1)(b)(ii,LAW
31,"Indeed, it is this distinction that is
vital in understanding the sheet anchor of the
Appellant's case namely, this Court's judgment in
Iqbal Singh Marwah (supra).”
(emphasis supplied)
10.2 We fully agree with the aforementioned reasoning.",Appellant,PRODUCT
31,"Indeed, it is this distinction that is
vital in understanding the sheet anchor of the
Appellant's case namely, this Court's judgment in
Iqbal Singh Marwah (supra).”
(emphasis supplied)
10.2 We fully agree with the aforementioned reasoning.",Court,ORG
31,"Indeed, it is this distinction that is
vital in understanding the sheet anchor of the
Appellant's case namely, this Court's judgment in
Iqbal Singh Marwah (supra).”
(emphasis supplied)
10.2 We fully agree with the aforementioned reasoning.",Iqbal Singh Marwah,PERSON
31,"Indeed, it is this distinction that is
vital in understanding the sheet anchor of the
Appellant's case namely, this Court's judgment in
Iqbal Singh Marwah (supra).”
(emphasis supplied)
10.2 We fully agree with the aforementioned reasoning.",10.2,CARDINAL
31,"The
presence of “in relation to” under Section 195(1)(b)(i) means that
Iqbal Singh Marwah would not have blanket application to
every case where a complaint is lodged in respect of an offence
specified under that Section.",Section 195(1)(b)(i,LAW
31,"The
presence of “in relation to” under Section 195(1)(b)(i) means that
Iqbal Singh Marwah would not have blanket application to
every case where a complaint is lodged in respect of an offence
specified under that Section.",Iqbal Singh Marwah,PERSON
31,"However, on the facts of Bandekar
Brothers, this was not a situation in which the offence
complained of did not have a “reasonably close nexus” with the
court proceedings.","Bandekar
Brothers",ORG
31,"The offence of giving false evidence was
committed by the respondents, who were party to the court
proceedings, for the purpose of leading the Court to form an
31",Court,ORG
31,"The offence of giving false evidence was
committed by the respondents, who were party to the court
proceedings, for the purpose of leading the Court to form an
31",31,CARDINAL
32,"Similar circumstances were present in Kailash Mangal v.
Ramesh Chand (Dead) Through Legal Representative, (2015)
15 SCC 729 and Narendra Kumar Srivastava v. State of
Bihar and Others, (2019) 3 SCC 318, which were the decisions
relied upon by this Court in Bandekar Brothers (supra).",Kailash Mangal,GPE
32,"Similar circumstances were present in Kailash Mangal v.
Ramesh Chand (Dead) Through Legal Representative, (2015)
15 SCC 729 and Narendra Kumar Srivastava v. State of
Bihar and Others, (2019) 3 SCC 318, which were the decisions
relied upon by this Court in Bandekar Brothers (supra).",Ramesh Chand (Dead,ORG
32,"Similar circumstances were present in Kailash Mangal v.
Ramesh Chand (Dead) Through Legal Representative, (2015)
15 SCC 729 and Narendra Kumar Srivastava v. State of
Bihar and Others, (2019) 3 SCC 318, which were the decisions
relied upon by this Court in Bandekar Brothers (supra).",2015,DATE
32,"Similar circumstances were present in Kailash Mangal v.
Ramesh Chand (Dead) Through Legal Representative, (2015)
15 SCC 729 and Narendra Kumar Srivastava v. State of
Bihar and Others, (2019) 3 SCC 318, which were the decisions
relied upon by this Court in Bandekar Brothers (supra).",15,CARDINAL
32,"Similar circumstances were present in Kailash Mangal v.
Ramesh Chand (Dead) Through Legal Representative, (2015)
15 SCC 729 and Narendra Kumar Srivastava v. State of
Bihar and Others, (2019) 3 SCC 318, which were the decisions
relied upon by this Court in Bandekar Brothers (supra).",Narendra Kumar Srivastava v. State,PERSON
32,"Similar circumstances were present in Kailash Mangal v.
Ramesh Chand (Dead) Through Legal Representative, (2015)
15 SCC 729 and Narendra Kumar Srivastava v. State of
Bihar and Others, (2019) 3 SCC 318, which were the decisions
relied upon by this Court in Bandekar Brothers (supra).",Bihar and Others,WORK_OF_ART
32,"Similar circumstances were present in Kailash Mangal v.
Ramesh Chand (Dead) Through Legal Representative, (2015)
15 SCC 729 and Narendra Kumar Srivastava v. State of
Bihar and Others, (2019) 3 SCC 318, which were the decisions
relied upon by this Court in Bandekar Brothers (supra).",2019,DATE
32,"Similar circumstances were present in Kailash Mangal v.
Ramesh Chand (Dead) Through Legal Representative, (2015)
15 SCC 729 and Narendra Kumar Srivastava v. State of
Bihar and Others, (2019) 3 SCC 318, which were the decisions
relied upon by this Court in Bandekar Brothers (supra).",3,CARDINAL
32,"Similar circumstances were present in Kailash Mangal v.
Ramesh Chand (Dead) Through Legal Representative, (2015)
15 SCC 729 and Narendra Kumar Srivastava v. State of
Bihar and Others, (2019) 3 SCC 318, which were the decisions
relied upon by this Court in Bandekar Brothers (supra).",318,CARDINAL
32,"Similar circumstances were present in Kailash Mangal v.
Ramesh Chand (Dead) Through Legal Representative, (2015)
15 SCC 729 and Narendra Kumar Srivastava v. State of
Bihar and Others, (2019) 3 SCC 318, which were the decisions
relied upon by this Court in Bandekar Brothers (supra).",Court,ORG
